50, Num of Connected: 2,    connected node id:  48,  57,  
51, Num of Connected: 2,    connected node id:  2,  171,  
52, Num of Connected: 0,    connected node id:  
53, Num of Connected: 2,    connected node id:  83,  71,  
54, Num of Connected: 2,    connected node id:  33,  145,  
55, Num of Connected: 2,    connected node id:  16,  57,  
56, Num of Connected: 2,    connected node id:  28,  172,  
57, Num of Connected: 2,    connected node id:  50,  55,  
58, Num of Connected: 4,    connected node id:  193,  130,  94,  165,  
59, Num of Connected: 2,    connected node id:  6,  28,  
60, Num of Connected: 2,    connected node id:  146,  85,  
61, Num of Connected: 0,    connected node id:  
62, Num of Connected: 2,    connected node id:  68,  147,  
63, Num of Connected: 1,    connected node id:  84,  
64, Num of Connected: 2,    connected node id:  23,  189,  
65, Num of Connected: 2,    connected node id:  179,  122,  
66, Num of Connected: 1,    connected node id:  114,  
67, Num of Connected: 2,    connected node id:  45,  88,  
68, Num of Connected: 2,    connected node id:  62,  149,  
69, Num of Connected: 2,    connected node id:  4,  40,  
70, Num of Connected: 1,    connected node id:  109,  
71, Num of Connected: 2,    connected node id:  53,  100,  
72, Num of Connected: 2,    connected node id:  108,  136,  
73, Num of Connected: 2,    connected node id:  86,  76,  
74, Num of Connected: 2,    connected node id:  75,  92,  
75, Num of Connected: 2,    connected node id:  78,  74,  
76, Num of Connected: 2,    connected node id:  41,  73,  
77, Num of Connected: 2,    connected node id:  96,  108,  
78, Num of Connected: 2,    connected node id:  75,  190,  
79, Num of Connected: 2,    connected node id:  81,  86,  
80, Num of Connected: 1,    connected node id:  132,  
81, Num of Connected: 2,    connected node id:  82,  79,  
82, Num of Connected: 2,    connected node id:  102,  81,  
83, Num of Connected: 2,    connected node id:  53,  103,  
84, Num of Connected: 2,    connected node id:  101,  63,  
85, Num of Connected: 2,    connected node id:  12,  60,  
86, Num of Connected: 2,    connected node id:  79,  73,  
87, Num of Connected: 2,    connected node id:  26,  91,  
88, Num of Connected: 2,    connected node id:  67,  90,  
89, Num of Connected: 2,    connected node id:  181,  134,  
90, Num of Connected: 2,    connected node id:  88,  110,  
91, Num of Connected: 4,    connected node id:  125,  87,  162,  177,  
92, Num of Connected: 2,    connected node id:  41,  74,  
93, Num of Connected: 2,    connected node id:  124,  154,  
94, Num of Connected: 2,    connected node id:  17,  58,  
95, Num of Connected: 2,    connected node id:  119,  137,  
96, Num of Connected: 2,    connected node id:  77,  97,  
97, Num of Connected: 2,    connected node id:  98,  96,  
98, Num of Connected: 2,    connected node id:  143,  97,  
99, Num of Connected: 1,    connected node id:  127,  
100, Num of Connected: 2,    connected node id:  71,  146,  
101, Num of Connected: 2,    connected node id:  84,  102,  
102, Num of Connected: 2,    connected node id:  101,  82,  
103, Num of Connected: 2,    connected node id:  83,  116,  
104, Num of Connected: 1,    connected node id:  149,  
105, Num of Connected: 2,    connected node id:  39,  24,  
106, Num of Connected: 2,    connected node id:  6,  21,  
107, Num of Connected: 3,    connected node id:  15,  17,  161,  
108, Num of Connected: 2,    connected node id:  77,  72,  
109, Num of Connected: 1,    connected node id:  70,  
110, Num of Connected: 2,    connected node id:  90,  113,  
111, Num of Connected: 3,    connected node id:  157,  150,  155,  
112, Num of Connected: 2,    connected node id:  176,  135,  
113, Num of Connected: 2,    connected node id:  110,  117,  
114, Num of Connected: 2,    connected node id:  166,  66,  
115, Num of Connected: 0,    connected node id:  
116, Num of Connected: 2,    connected node id:  103,  138,  
117, Num of Connected: 3,    connected node id:  148,  113,  181,  
118, Num of Connected: 3,    connected node id:  1,  19,  156,  
119, Num of Connected: 2,    connected node id:  95,  151,  
120, Num of Connected: 1,    connected node id:  23,  
121, Num of Connected: 2,    connected node id:  133,  178,  
122, Num of Connected: 2,    connected node id:  65,  154,  
123, Num of Connected: 1,    connected node id:  12,  
124, Num of Connected: 2,    connected node id:  93,  131,  
125, Num of Connected: 1,    connected node id:  91,  
126, Num of Connected: 1,    connected node id:  158,  
127, Num of Connected: 2,    connected node id:  147,  99,  
128, Num of Connected: 2,    connected node id:  179,  132,  
129, Num of Connected: 2,    connected node id:  5,  191,  
130, Num of Connected: 2,    connected node id:  5,  58,  
131, Num of Connected: 2,    connected node id:  124,  140,  
132, Num of Connected: 2,    connected node id:  80,  128,  
133, Num of Connected: 2,    connected node id:  135,  121,  
134, Num of Connected: 2,    connected node id:  89,  137,  
135, Num of Connected: 2,    connected node id:  112,  133,  
136, Num of Connected: 2,    connected node id:  72,  138,  
